# Language file for DOL
# Language used : FRENCH / FRANCAIS
# Create by DOL
# Edit by the french player
# Finish by heretoc
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:					Anglais
Scripts.Player.Guild.AllianceNoGMSelected:		Vous devez choisir un Maître de guilde que vous voulez inviter.	
Scripts.Player.Guild.AllianceNoLeader:			Pas de chef d'alliance
Scripts.Player.Guild.AllianceNotLeader:			Vous devez être la guilde de chef de l'alliance, avant de pouvoir enlever une guilde de l'alliance.	
Scripts.Player.Guild.AllianceNotMember:			Vous devez être dans une alliance pour le faire.	
Scripts.Player.Guild.AlreadyInGuild:			{0} est un membre de votre guilde.	
Scripts.Player.Guild.AlreadyInGuild:			Ils sont déjà un membre d'une guilde.	
Scripts.Player.Guild.AMotdSet:				Vous avez mis le message d'alliance à jour.	
Scripts.Player.Guild.BannerAlready:			Votre guilde posséde déjà une bannière.	
Scripts.Player.Guild.BannerBought:			Vous avez acheter une bannière de guilde pour {0} points de mérite.	
Scripts.Player.Guild.BannerGroupSummoned:		Quelqu'un dans votre groupe a déjà invoqué la bannière de guilde
Scripts.Player.Guild.BannerGuildSummoned:		Quelqu'un dans votre guilde a déjà invoqué la bannière de guilde.
Scripts.Player.Guild.BannerNoGroup:			Vous avez besoin d'un groupe pour invoquer une bannière.	
Scripts.Player.Guild.BannerNone:			Votre guilde ne possède pas de bannière de guilde.	
Scripts.Player.Guild.BannerNotAfford:			Vous avez besoin de 50,000 points de mérite pour acheter une bannière de guilde!
Scripts.Player.Guild.BannerSummoned:			Vous avez invoqué votre bannière de guilde.	
Scripts.Player.Guild.BannerUnsummoned:			Vous avez retiré votre bannière de guilde.	
Scripts.Player.Guild.BuffActivated:			[Guild Buff] {0} a utilisé  1000 Points de Mérite de Guilde et a activé une Amélioration de Guilde!	
Scripts.Player.Guild.BuffBountyPoints:			Votre guilde gagnera maintenant 5 % aux primes de royaumes de plus pendant 24 heures!	
Scripts.Player.Guild.BuffBPActivated:			[Guild Buff] Votre guilde recevra un bonus aux primes de royaumes pendant 24 heures!	
Scripts.Player.Guild.BuffMPActivated:			[Guild Buff] Votre guilde recevra un bonus aux points de mérite de guilde pendant 24 heures!	
Scripts.Player.Guild.BuffRealmPoints:			Votre guilde gagnera maintenant 5 % aux points de royaumes de plus pendant 24 heures!	
Scripts.Player.Guild.ClaimNotNear:			Vous devez être près du Lord pour réclamer se fort.	
Scripts.Player.Guild.ConfirmLeave:			Voulez-vous vraiment partir {0}?
Scripts.Player.Guild.DemotedHigherThanPlayer:		Vous pouvez seulement rétrograder les grades au-dessous du votre.	
Scripts.Player.Guild.DemotedOther:			{0} a rétrograder au rang {1}.	
Scripts.Player.Guild.DemotedSelf:			Vous avez été rétrogradés au rang {0}.	
Scripts.Player.Guild.DepositAmmount:			Vous déposez {0} dans la caisse de guilde.	
Scripts.Player.Guild.DepositFull:			La caisse de guilde semble être pleine.	
Scripts.Player.Guild.DepositInvalid:			Ce n'est pas un dépôt valide.	
Scripts.Player.Guild.DuesOff:				La cotisation de guilde est actuellement pas fonctionnel.	
Scripts.Player.Guild.DuesOn:				La cotisation de guilde est de  {0} pourcent.	
Scripts.Player.Guild.EmailSet:				L'email de guilde est maintenant fixer: {0}.	
Scripts.Player.Guild.EmblemAlready:			Votre guilde a déjà un emblème mais vous pouvez le changer pour 100 piéces d'or. Vous devez choisir l'EmblemNPC de nouveau pour effectuer cette proceedure.
Scripts.Player.Guild.EmblemNeedGold:			Vous devez avoir 200 piéces d'or pour changer de nouveau votre embleme de guilde.	
Scripts.Player.Guild.EmblemNeedNPC:			Vous devez selectionner l'EmblemNPC.	
Scripts.Player.Guild.EmblemNPCNotSelected:		Vous devez selectionner l'EmblemNPC.	
Scripts.Player.Guild.EmblemRedo:			Vous voulez refaire votre emblème pour 100 piéces d'or?	
Scripts.Player.Guild.FormNoGroup:			Vous devez être dans un groupe pour former une guilde.	
Scripts.Player.Guild.FormNoMembers:			Vous avez besoin de {0} membres dans votre groupe pour créer une guilde.	
Scripts.Player.Guild.GuildCreated:			La guilde {0} vient d'être créer avec {1} comme chef.	
Scripts.Player.Guild.GuildExists:			Cette guilde ne peut être créer car elle existe déjà.	
Scripts.Player.Guild.GuildForceLeave:			{0} est retirer de la guilde par {1}.	
Scripts.Player.Guild.GuildLeave:			Vous vennez de quitter la guilde.	
Scripts.Player.Guild.GuildLevelReq:			Votre guilde n'est assez haut niveau pour cette commande.	
Scripts.Player.Guild.GuildNotExist:			Cette guilde n'existe pas.	
Scripts.Player.Guild.Help.GuildACancel:			'/gc acancel' Annule une invitation au sein d'une alliance	
Scripts.Player.Guild.Help.GuildAccept:			'/gc aaccept' Accepte une invitation au sein d'une alliance	
Scripts.Player.Guild.Help.GuildAccept:			'/gc accept ' Accepte une invitation au sein d'une guilde	
Scripts.Player.Guild.Help.GuildADecline:		'/gc adecline' Décline une invitation au sein d'une alliance	
Scripts.Player.Guild.Help.GuildAInvite:			'/gc ainvite' Invite une autre guilde à rejoindre l'alliance	
Scripts.Player.Guild.Help.GuildAlli:			'/gc alliance' Affiche l'alliance dont la guilde fait partie
Scripts.Player.Guild.Help.GuildAMotd:			'/gc amotd <text>' Affecte le message du jour de l'alliance	
Scripts.Player.Guild.Help.GuildARemove:			'/gc aremove' Expulse la guilde sélectionner de l'alliance	
Scripts.Player.Guild.Help.GuildARemoveAlli:		'/gc aremove alliance [#]' Expulse la guilde spécifié de l'alliance (énuméré par un nombre)	
Scripts.Player.Guild.Help.GuildAutoRemove:		'/gc autoremove <Nom du joueur>' Expulse un personnage de la guilde	
Scripts.Player.Guild.Help.GuildAutoRemoveAcc:		'/gc autoremove account <Nom du joueur>'Expulse de la guilde tous les personnages d'un compte
Scripts.Player.Guild.Help.GuildBannerSummon:		'/gc summon' Invoque la bannière de guilde.	
Scripts.Player.Guild.Help.GuildBuff:			'/gc buff <realmpoints/bountypoints>' Achète un bonus de mérite de guilde
Scripts.Player.Guild.Help.GuildBuyBanner:		'/gc buybanner' - Achéte une bannière de guilde.	
Scripts.Player.Guild.Help.GuildCancel:			'/gc cancel <option> [value]' Annule une invitation à rejoindre la guilde	
Scripts.Player.Guild.Help.GuildClaim:			'/gc claim' Réclame une tour ou un fort pour la guilde
Scripts.Player.Guild.Help.GuildDecline:			'/gc decline' Décline une invitation à rejoindre la guilde
Scripts.Player.Guild.Help.GuildDemote:			'/gc demote <rank#> [name]' Rétrograde le joueur indiqué au rang désiré
Scripts.Player.Guild.Help.GuildDeposit:			'/gc deposit <ammount>' Dépose une somme dans la caisse de guilde.	
Scripts.Player.Guild.Help.GuildDues:			'/gc dues <ammount>' Active ou désactive le système de taxation de la guilde (2% de l'argent gagné sur des monstres)
Scripts.Player.Guild.Help.GuildEdit:			'/gc edit' Listes les parties modifiables de la structure de guilde
Scripts.Player.Guild.Help.GuildEditACHear:		'/gc edit <ranknum> achear <y/n>' Permet à un rang de pouvoir lire le canal d'alliance	
Scripts.Player.Guild.Help.GuildEditACSpeak:		'/gc edit <ranknum> acspeak <y/n>' Permet à un rang de pouvoir parler sur le canal alliance	
Scripts.Player.Guild.Help.GuildEditAlli:		'/gc edit <ranknum> alli <y/n>'  Permet au chef de guilde d'accorder à un rang la possibilité d'intégrer ou quitter une alliance
Scripts.Player.Guild.Help.GuildEditClaim:		'/gc edit <ranknum> claim <y/n>'  Permet au chef de guilde d'accorder à un rang la possibilité de capturer un fort ou une tour pour la guilde	
Scripts.Player.Guild.Help.GuildEditDues:		'/gc edit <ranknum> dues <y/n>'  Permet de changer la valeur de la taxation de guilde
Scripts.Player.Guild.Help.GuildEditEmblem:		'/gc edit <ranknum> emblem <y/n>' Permet à un rang de pouvoir porter la l'emblème de la guilde
Scripts.Player.Guild.Help.GuildEditGCHear:		'/gc edit <ranknum> gchear <y/n>' Permet à un rang de pouvoir lire le canal de guilde	
Scripts.Player.Guild.Help.GuildEditGCSpeak:		'/gc edit <ranknum> gcspeak <y/n>' Permet à un rang de pouvoir parler sur le canal guilde
Scripts.Player.Guild.Help.GuildEditInvite:		'/gc edit <ranknum> invite <y/n>' Permet au chef de guilde d'accorder à un rang la possibilité d'inviter de nouveau membres
Scripts.Player.Guild.Help.GuildEditOCHear:		'/gc edit <ranknum> ochear <y/n>' Permet à un rang de pouvoir lire le canal Officer	
Scripts.Player.Guild.Help.GuildEditOCSpeak:		'/gc edit <ranknum> ocspeak <y/n>' Permet à un rang de pouvoir parler sur le canal Officer
Scripts.Player.Guild.Help.GuildEditPromote:		'/gc edit <ranknum> promote <y/n>' Permet de grader ou rétrograder le joueur sélectionner	
Scripts.Player.Guild.Help.GuildEditRankLevel:		'/gc edit <ranknum> ranklevel <level>' 
Scripts.Player.Guild.Help.GuildEditRelease:		'/gc edit <ranknum> release <y/n>'  Libére le controle de la tour/fort de guilde	
Scripts.Player.Guild.Help.GuildEditRemove:		'/gc edit <ranknum> remove <y/n>' Permet de pouvoir retirer le joueur sélectionner de la guilde	
Scripts.Player.Guild.Help.GuildEditTitle:		'/gc edit <ranknum> title <text>' Crée un titre au rang choisi <#> pour la guilde	
Scripts.Player.Guild.Help.GuildEditUpgrade:		'/gc edit <ranknum> upgrade <y/n>'  Permet au chef de guilde d'accorder à un rang la possibilité d'intégrer ou quitter une alliance
Scripts.Player.Guild.Help.GuildEditView:		'/gc edit <ranknum> view <y/n>'  Permet au rang choisi de pouvoir voir les membres de l'alliance
Scripts.Player.Guild.Help.GuildEditWithdraw:		'/gc edit <ranknum> withdraw <y/n>'  Permet de donné l'autorisation de retirer les fonds de votre caisse de guilde	
Scripts.Player.Guild.Help.GuildEmail:			'/gc email <contact@guildpage.com>' Affiche l'adresse internet des contactes au sein de la guilde.
Scripts.Player.Guild.Help.GuildEmblem:			'/gc emblem' Présentation des Emblèmes	
Scripts.Player.Guild.Help.GuildForm:			'/gc form <Nom de guilde>' Création d'une guilde (8 joueurs requis dans le groupe)	
Scripts.Player.Guild.Help.GuildGMAddPlayer:		'/gc addplayer <player> to <guild>' Ajoute un joueur à la guilde	
Scripts.Player.Guild.Help.GuildGMCommands:		Game Master commandes:	
Scripts.Player.Guild.Help.GuildGMCreate:		'/gc create <Name>' Créer une guilde et désigne le joueur sélectionner comme chef	
Scripts.Player.Guild.Help.GuildGMPurge:			'/gc purge <Name>' Purge complétement une guilde	
Scripts.Player.Guild.Help.GuildGMRemovePlayer:		'/gc removeplayer <player> from <guild>' Retire un joueur de la guilde	
Scripts.Player.Guild.Help.GuildGMRename:		'/gc rename <OldName> to <NewName' Renomme une guilde <ancien nom> <nouveau nom>	
Scripts.Player.Guild.Help.GuildInfo:			'/gc info' Liste des informations de cette guilde	
Scripts.Player.Guild.Help.GuildInvite:			'/gc invite [joueur]' Invite un joueur à rejoindre la guilde	
Scripts.Player.Guild.Help.GuildLeader:			'/gc leader [joueur]' Choisi le nouveau chef de guilde	
Scripts.Player.Guild.Help.GuildList:			'/gc list' Informe le joueur de toutes les guildes sur le royaume	
Scripts.Player.Guild.Help.GuildMotd:			'/gc motd <text>' Modifie le message du jour de la guilde	
Scripts.Player.Guild.Help.GuildNoteSelf:		'/gc noteself <note>' Créé une note à votre propos
Scripts.Player.Guild.Help.GuildOMotd:			'/gc omotd <text>' Définie le message du jour des officier de votre guilde	
Scripts.Player.Guild.Help.GuildPromote:			'/gc promote <rank#> [name]' Promeu  le personnage indiqué au rang désiré	
Scripts.Player.Guild.Help.GuildQuit:			'/gc quit' Pour quitter une guilde	
Scripts.Player.Guild.Help.GuildRanks:			'/gc ranks' Affiche les rangs de la guilde. Les chefs de guilde peuvent aussi utiliser cette commande pour modifier les rang
Scripts.Player.Guild.Help.GuildRemAccount:		'/gc removeaccount <accountname>' Retire d'une guilde tous les personnages du compte sur lequel se trouve le personnage sélectionner.	
Scripts.Player.Guild.Help.GuildRemove:			'/gc remove <Nom du joueur>' Retire le joueur de la guilde	
Scripts.Player.Guild.Help.GuildUsage:			Usage:	
Scripts.Player.Guild.Help.GuildWebpage:			'/gc webpage <la.pagedeguilde.fr>' Option non obligatoire qui permet d'indiquer le site de guilde aux membres et sur le herald officiel .	
Scripts.Player.Guild.Help.GuildWho:			'/gc who' Montre les joueurs de la guilde connectés	
Scripts.Player.Guild.Help.GuildWithdraw:		'/gc withdraw <ammount>' Retire les fonds de votre caisse de guilde.
Scripts.Player.Guild.InCombat:				Vous ne pouvez pas invoquer la bannière de guilde en combat!	
Scripts.Player.Guild.InfoAMotd:				Message de l'alliance: {0}	
Scripts.Player.Guild.InfoCEmail:			Contacte Email: {0}	
Scripts.Player.Guild.InfoGDuesBank:			Taxe: {0} Banque de guilde: {1} pieces de cuivre.	
Scripts.Player.Guild.InfoGuild:				Guild Info for {0}:	
Scripts.Player.Guild.InfoGuildLevel:			Guild Level: {0}	
Scripts.Player.Guild.InfoMotd:				Message:  {0}	
Scripts.Player.Guild.InfoOMotd:				Message des officiers: {0}	
Scripts.Player.Guild.InfoRPBPMP:			Points de Royaume: {0} Primes de Royaume: {1} Points de Mérite: {2}	
Scripts.Player.Guild.InfoWebpage:			Webpage: {0}	
Scripts.Player.Guild.InvalidLetters:			Les lettres mises sont invalide.	
Scripts.Player.Guild.InvalidRank:			Ce n'est pas un rang valide.	
Scripts.Player.Guild.InviteDead:			Vous ne pouvez pas inviter un joueur mort à rejoindre la guilde.	
Scripts.Player.Guild.InviteNoSelected:			Vous devez selectionner un joueur.	
Scripts.Player.Guild.InviteNoSelf:			Vous pouvez pas vous inviter.	
Scripts.Player.Guild.InviteNotThis:			Ce membre ne peut être inviter.
Scripts.Player.Guild.InviteRecieved:			{0} vous invite à rejoindre la guilde.	
Scripts.Player.Guild.InviteSent:			Vous lancez l'invitation pour {0} rejoindre la guilde.	
Scripts.Player.Guild.Keep:				Votre guilde posséde déjà un fort {0}.	
Scripts.Player.Guild.LevelUp:				[Guild] Votre guilde à atteint le niveau {0}!	
Scripts.Player.Guild.LoginsOff:				Vous avez désactiver la fonction qui vous permet de voir les membres de la guilde se connecté, tapper /gc logins pour activer la fonction.	
Scripts.Player.Guild.LoginsOn:				Vous avez activer la fonction qui vous permet de voir les membres de la guilde se connecté, tapper /gc logins pour désactiver la fonction.
Scripts.Player.Guild.MadeLeader:			Vous éttes désormer le chef de {0}.	
Scripts.Player.Guild.MadeLeaderOther:			{0} à promu {1} comme nouveau chef de guilde.	
Scripts.Player.Guild.MemberLogin:			{0} est maintenant connecté.	
Scripts.Player.Guild.MemberLogoff:			{0} est maintenant déconnecté.	
Scripts.Player.Guild.MemberRemoved:			{0} a retirer {1} de la guilde.	
Scripts.Player.Guild.MeritPointReq:			Votre guilde ne posséde pas les points de mérite nécéssaire à cette action.	
Scripts.Player.Guild.MotdSet:				Vous changez le message de jour de guilde.	
Scripts.Player.Guild.NoKeep:				Vous n'avez pas actuellement de fort pour utiliser cette commande.
Scripts.Player.Guild.NoPlayerSelected:			Sélectionner un joueur.	
Scripts.Player.Guild.NoPlayersInAcc:			Il n'y a pas de joueur du compte demander dans votre guilde.	
Scripts.Player.Guild.NoPrivilages:			Votre rang de guilde ne posséde pas assez de privilége pour utiliser cette commande.	
Scripts.Player.Guild.NoteSet:				La note de guilde est: {0}	
Scripts.Player.Guild.NotInYourGuild:			Ce joueur n'est pas dans la guilde.	
Scripts.Player.Guild.NotMember:				Vous devez être dans une guilde pour utiliser cette commande.	
Scripts.Player.Guild.OMotdSet:				le message des officiers est maintenant actualiser.	
Scripts.Player.Guild.PlayerNotFound:			Ce joueur n'est pas en ligne ou se trouve sur un autre royaume.	
Scripts.Player.Guild.PromotedOther:			{0} est promue au rang {1}.	
Scripts.Player.Guild.PromotedSelf:			Vous éttes promus au rang {0}.	
Scripts.Player.Guild.PromoteHigherThanPlayer:		Vous pouvez seulement grader un joueur à un rang inférieure au votre.	
Scripts.Player.Guild.Purged:				{0} est purger.	
Scripts.Player.Guild.RankACHearSet:			Vous avez {0} l'accé à ACHear au rang {1}.	
Scripts.Player.Guild.RankACSpeakSet:			Vous avez {0} l'ACSpeak au rang {1}.	
Scripts.Player.Guild.RankAlliSet:			Vous avez {0} l'Alliance au rang {1}.	
Scripts.Player.Guild.RankClaimSet:			Vous avez {0} les captures de fort au rang {1}.	
Scripts.Player.Guild.RankDuesSet:			Vous avez {0} la taxe de guilde au rang {1}.	
Scripts.Player.Guild.RankEmblemSet:			Vous avez {0} l'emblème au rang {1}.	
Scripts.Player.Guild.RankGCHearSet:			Vous avez {0} le GCHear au rang {1}.	
Scripts.Player.Guild.RankGCSpeakSet:			Vous avez {0} the GCSpeak au rang {1}.	
Scripts.Player.Guild.RankInviteSet:			Vous avez {0} les invitations au rang {1}.	
Scripts.Player.Guild.RankLevelSet:			Vous avez choisi le niveau de guilde au rang to {0}.	
Scripts.Player.Guild.RankOCHearSet:			Vous avez {0} le OCHear au rang {1}.	
Scripts.Player.Guild.RankOCSpeakSet:			Vous avez {0} le OCSpeak au rang {1}.	
Scripts.Player.Guild.RankPromoteSet:			Vous avez {0} les grades/rétrogradation au rang {1}.	
Scripts.Player.Guild.RankReleaseSet:			Vous avez {0} le relachement du contrôle des forts au rang {1}.	
Scripts.Player.Guild.RankRemoveSet:			Vous avez {0} le Remove au rang {1}.	
Scripts.Player.Guild.RankTitleSet:			Vous avez pour changer les titres de rang de guilde au rang {0}.	
Scripts.Player.Guild.RankUpgradeSet:			Vous avez {0} les mise à jour des forts au rang {1}.	
Scripts.Player.Guild.RankViewSet:			Vous avez {0} l'apperçu de la guilde au rang {1}.	
Scripts.Player.Guild.RankWithdrawSet:			Vous avez {0} la caisse de guilde au rang {1}.
Scripts.Player.Guild.ThirdArgNotNum:			Cette argument n'est pas un nombre valide.	
Scripts.Player.Guild.UnableToCreate:			La guilde {0} vient d'être créer.	
Scripts.Player.Guild.UnableToCreateLead:		La guilde {0} vient d'être créer, {1} est le chef de guilde.	
Scripts.Player.Guild.UnknownCommand:			Commande Inconnue. Tappez /gc help pour les informations.	
Scripts.Player.Guild.UpgradeNoLevel:			Vous devez spécifier un niveau pour les améliorations de des tours/forts.	
Scripts.Player.Guild.UpgradeScndArg:			Le deuxieme argument doit être un nombre.	
Scripts.Player.Guild.WebpageSet:			Vous avez définie la page internet de la guilde comme {0}.	
Scripts.Player.Guild.WithdrawAmmount:			Votre taxe est de {0} vont dans la caisse de guilde.	
Scripts.Player.Guild.WithdrawInvalid:			Ce n'est pas un montant valide.	
Scripts.Player.Guild.WithdrawTooMuch:			Vous ne pouvez plus ajouter de d'argent dans la caisse de guilde.

# SCRIPTS
# GameEvents
# /Playerenterexit
Scripts.Events.PlayerEnterExit.Entered:		{0} vient d'entrer en jeu!
Scripts.Events.PlayerEnterExit.Left:		{0} vient de quitter le jeu!
Scripts.Events.PlayerEnterExit.Staff:		[Membre du staff] {0}

# GMCommands
# /ban
Scripts.GM.Ban.AAlreadyBanned:				Ce compte a déjà été banni.
Scripts.GM.Ban.ABanned:						Le compte {0} a été banni.
Scripts.GM.Ban.BAlreadyBanned:				Ce compte et cette IP ont déjà été bannis.
Scripts.GM.Ban.BBanned:						Le compte {0} et l'adresse IP {1} ont été bannis.
Scripts.GM.Ban.IAlreadyBanned:				Cette adresse IP a déjà été bannie.
Scripts.GM.Ban.IBanned:						L'adresse IP {0} a été bannie.
Scripts.GM.Ban.MustTarget:					Vous devez selectionner une cible !

# PlayerCommands
# /Advice
Scripts.Players.Advice.Advice:				[CONSEIL{0}] {1}: "{2}"
Scripts.Players.Advice.AdvicersOn:			Il y a {0} conseillers en ligne !

# /Advisor
Scripts.Players.Advisor.Off:				Vous ne recevrez désormais plus de message du canal conseil.
Scripts.Players.Advisor.On:					Vous recevrez désormais des messages du canal conseil.

# /Afk
Scripts.Players.Afk.Off:					Vous n'êtes plus considéré comme étant AFK.
Scripts.Players.Afk.On:						Vous êtes maintenant considéré comme étant AFK.

# /Anonymous
Scripts.Players.Anonymous.Error:			Le mode anonyme est désactivé.
Scripts.Players.Anonymous.Off:				Vous n'êtes plus anonyme.
Scripts.Players.Anonymous.On:				Vous êtes maintenant anonyme.

# /Assist
Scripts.Players.Assist.CantAssistYourself:	Vous ne pouvez pas vous assister vous-même.
Scripts.Players.Assist.DoesntHaveTarget:	 n'a pas de cible actuellement.
Scripts.Players.Assist.DontSee:				Vous ne voyez pas {0} aux alentours!
Scripts.Players.Assist.NoTarget:			Vous n'avez pas de cible.
Scripts.Players.Assist.NotValid:			La cible n'est pas valide.
Scripts.Players.Assist.YouAssist:			Vous assistez {0}.

# /Autoloot
Scripts.Players.Autoloot.Off:				Votre autoloot est desactivé. Vous ne ramasserez plus automatiquement les drops alentours.
Scripts.Players.Autoloot.On:				Votre autoloot est activé. Vous ramasserez désormais automatiquement les drops alentours.

# /Autosplit
Scripts.Players.Autosplit.Coins:			The leader switched 
Scripts.Players.Autosplit.InGroup:			Vous devez être dans un groupe pour utiliser cette commande.
Scripts.Players.Autosplit.Leader:			Vous devez être le chef de groupe pour utiliser cette commande.
Scripts.Players.Autosplit.Loot:				The leader switched 
Scripts.Players.Autosplit.Off:				Le chef de groupe a désactivé l'autosplit.
Scripts.Players.Autosplit.On:				Le chef de groupe a activé l'autosplit.
Scripts.Players.Autosplit.Self:				{0} switched

# /Battlegroup
Scripts.Players.Battlegroup.Help.Help:			/bg help - Affiche toutes les commandes du groupe de combat
Scripts.Players.Battlegroup.Help.Invite:			/bg invite [nom du joueur] - Invite le joueur spécifié à rejoindre le groupe de combat
Scripts.Players.Battlegroup.Help.JoinPrivate:		/bg join [moderateur] [mot de passe] - Rejoindre un groupe de combat protégé par un mot de passe	
Scripts.Players.Battlegroup.Help.JoinPublic:		/bg join [moderateur] - Rejoindre un groupe de combat
Scripts.Players.Battlegroup.Help.Leader:			/bg promote <nom> - Promouvoir un autre joueur comme chef du groupe de combat; Ce joueur peut inviter d'autre joueurs à rejoindre le canal et peut parler quand le canal est en mode écoute.
Scripts.Players.Battlegroup.Help.Leave:			/bg leave - Quitter le groupe de combat
Scripts.Players.Battlegroup.Help.Listen:			/bg listen - Mettre le groupe de combat en mode écoute; seul le modérateur et les leads peuvent parler
Scripts.Players.Battlegroup.Help.PasswordClear:	/bg password clear - Efface le mot de passe actuel (moderateur uniquement)	
Scripts.Players.Battlegroup.Help.PasswordDisplay:	/bg password - Affiche le mot de passe actuel (moderateur uniquement)	
Scripts.Players.Battlegroup.Help.PasswordNew:		/bg password [nouveau mot de passe]	- Change le mot de passe actuel
Scripts.Players.Battlegroup.Help.Private:			/bg private - Définir le groupe de combat comme étant privé
Scripts.Players.Battlegroup.Help.Public:			/bg public - Définir le groupe de combat comme étant publique, tout le monde peut rejoindre
Scripts.Players.Battlegroup.Help.Remove:			/bg remove [nom du joueur] - Ejecte le joueur spécifié du groupe de combat
Scripts.Players.Battlegroup.Help.Usage:			/bg usage:
Scripts.Players.Battlegroup.Help.Who:				/bg who - Liste tous les membres du groupe de combat
Scripts.Players.Battlegroup.Help.Count:         /bg count - Compte le nombre de membres dans le groupe de combat
Scripts.Players.Battlegroup.Help.Groups:        /bg groups - Affiche les membres du groupe de battaille avec leur groupes
Scripts.Players.Battlegroup.Help.GroupClass: /bg groupclass -
Scripts.Players.Battlegroup.Help.Loot:        /bg loot (normal/treasurer) - Définis le ramassage d’objet du group de bataille sur normal ou sur trésor.
Scripts.Players.Battlegroup.Help.LootLevel: /bg lootlevel (level) - Définis le niveau d’objet(loot) pour votre groupe de combat
Scripts.Players.Battlegroup.Help.Treasurer:        /bg treasurer (player name) - Définis le trésorier du groupe de combat.
Scripts.Players.Battlegroup.Help.Status:	/bg status - Renvoie le nombre de membres dans votre groupe de combat.
Scripts.Players.Battlegroup.Help.Credit: /bg credit
Scripts.Players.Battlegroup.Help.GrantCredit: /bg grantcredit (masterlevel) (playername) -
Scripts.Players.Battlegroup.InBattleGroup:			Vous devez être dans un groupe de combat pour utiliser cette commande.
Scripts.Players.Battlegroup.InviteYourself:		Vous ne pouvez pas vous inviter vous même dans un groupe de combat.	
Scripts.Players.Battlegroup.JoinBattleGroup:		Voulez vous rejoindre le groupe de combat de {0} ?	
Scripts.Players.Battlegroup.LeaderCommand:		Vous devez être le modérateur du groupe de combat pour utiliser cette commande.	
Scripts.Players.Battlegroup.LeaderInvite:			Vous devez être le modérateur du groupe de combat pour inviter un joueur à le rejoindre.
Scripts.Players.Battlegroup.ListenMode:			The listen mode of Battlegroup is switch 
Scripts.Players.Battlegroup.Moderator:			{0} est maintenant moderateur du groupe de combat.
Scripts.Players.Battlegroup.NoPlayer:				Il n'y a pas de joueur de ce nom.
Scripts.Players.Battlegroup.NotBattleGroupLeader:	Ce joueur n'est pas modérateur d'un groupe de combat.	
Scripts.Players.Battlegroup.NotBattleGroupMember:	Ce joueur n'est pas membre d'un groupe de combat.	
Scripts.Players.Battlegroup.NotPublic:			Ce groupe de combat n'est pas publique.
Scripts.Players.Battlegroup.OnlyModerator:		Seul le modérateur peut parler dans ce groupe de combat.	
Scripts.Players.Battlegroup.OwnBattleGroup:			Vous ne pouvez pas rejoindre votre propre groupe de combat.
Scripts.Players.Battlegroup.Password:				Mot de passe de ce groupe de combat: {0}.
Scripts.Players.Battlegroup.PasswordChanged:		Nouveau mot de passe du groupe de combat: {0}.	
Scripts.Players.Battlegroup.PlayerInBattlegroup:	{0} est déjà membre d'un groupe de combat.	
Scripts.Players.Battlegroup.Private:				Le groupe de combat est maintenant privé.
Scripts.Players.Battlegroup.Public:				Le groupe de combat est maintenant publique.
Scripts.Players.Battlegroup.Usage:				Usage: /bc <texte>
Scripts.Players.Battlegroup.UsageInvite:			Usage: /bg invite <nom du joueur>
Scripts.Players.Battlegroup.BattlegroupLootThresholdOff: Le niveau de loot du groupe de combat est actuellement sur off. 
Scripts.Players.Battlegroup.BattlegroupLootThresholdOn: Le niveau de loot du group de bataille est actuellement {0}
Scripts.Players.Battlegroup.BattleGroupLootNormal: Le type de loot du groupe de combat est définis a normal.
Scripts.Players.Battlegroup.BattleGroupLootTreasurer: Le type de loot du group de bataille est définis pour aller au trésorier.
Scripts.Players.Battlegroup.BattlegroupTreasurerOn: Vous avez changez le trésorier du groupe de combat a :{0}.
Scripts.Players.Battlegroup.BattlegroupTreasurerOff: Le group de bataille n’as actuellement plus de trésorier.
Scripts.Players.Battlegroup.BattlegroupStatus: Le statut actuel de votre group de bataille est {0}.
Scripts.Players.Battlegroup.BattlegroupCount: Il y as actuellement {0} membres dans votre groupe de combat.
Scripts.Players.Battlegroup.BattlegroupTreasurerIsYou: Vous avez été définis en tant que trésorier de votre groupe de combat.
Scripts.Players.Battlegroup.BattlegroupTreasurerIs: Le trésorier de votre groupe de combat a été définis à {0}

# Boats
Scripts.Player.Boat.AlreadyOnBoat:			Ce joueur est déjà sur le bateau!
Scripts.Player.Boat.BoardingDenied:			Votre demande pour {0} est refuser.
Scripts.Player.Boat.BoardingGranted:			Vous avez accepté la demande de contrôle du navire.
Scripts.Player.Boat.BoardingRequest:			{0} essaye de prendre controle de votre bateau. Accepter?
Scripts.Player.Boat.BoatTooFar:				{0} est trop loin de vous.
Scripts.Player.Boat.BootedBy:				Vous vennez de vous faire sortire du bateau par {0}.
Scripts.Player.Boat.BootedTarget:			Vous avez fait sortire {0} du bateau.
Scripts.Player.Boat.DeleteConfirmation:			Vous voulez vraiment retirer votre bateau {0}?
Scripts.Player.Boat.FullBoat:				Le navire est actuellement plein.
Scripts.Player.Boat.Help.Board:				'/boat board' - Face au bateau cibler.
Scripts.Player.Boat.Help.Boot:				'/boat boot' - Sort du bateau le joueur sélectionner.
